load_1,disk_r,disk_svc,disk_w,disk_wb
0.065678,0.0,0.081081,0.067808,0.150562
0.080508,0.000122,0.162162,0.071395,0.16449
0.064619,0.000366,0.094595,0.063277,0.151546
0.048729,0.000244,0.081081,0.067841,0.145566
0.051907,0.000244,0.108108,0.075654,0.118353
0.085805,0.000244,0.094595,0.068538,0.182582
0.070975,0.000611,0.135135,0.067172,0.134628
0.059322,0.0,0.081081,0.065812,0.150221
0.043432,0.0,0.067568,0.065999,0.190757
0.050847,0.000122,0.108108,0.07881,0.192688
0.097458,0.002345,0.108108,0.0654,0.16449
0.074153,0.000122,0.081081,0.064975,0.147761
0.121822,0.000244,0.081081,0.063179,0.153703
0.103814,0.000122,0.094595,0.065667,0.14655
0.097458,0.000122,0.081081,0.072765,0.135347
0.10911,0.000122,0.067568,0.065989,0.164377
0.070975,0.000122,0.108108,0.064371,0.146815
0.076271,0.0,0.067568,0.063965,0.135498
0.04661,0.000122,0.081081,0.060617,0.164755
0.079449,0.0,0.081081,0.076444,0.146209
0.075212,0.000122,0.081081,0.058536,0.138943
0.102754,0.000366,0.108108,0.070015,0.183907
0.059322,0.000244,0.081081,0.064914,0.157753
0.034958,0.0,0.108108,0.05141,0.234132
0.087924,0.000366,0.108108,0.100511,0.14515
0.067797,0.000489,0.094595,0.078029,0.136785
0.036017,0.000244,0.094595,0.077931,0.160819
0.067797,0.000611,0.121622,0.076,0.157829
0.059322,0.000122,0.121622,0.075018,0.140721
0.042373,0.000244,0.121622,0.08545,0.148367
0.082627,0.000122,0.108108,0.080835,0.155634
0.059322,0.000489,0.121622,0.072456,0.146247
0.080508,0.000244,0.081081,0.067439,0.151054
0.045551,0.000122,0.094595,0.042933,0.131562
0.067797,0.0,0.094595,0.085618,0.163279
0.068856,0.000244,0.094595,0.073125,0.104122
0.041314,0.000122,0.094595,0.081878,0.181674
0.04661,0.0,0.094595,0.077221,0.228152
0.190678,0.0,0.067568,0.074382,0.172931
0.129237,0.000244,0.067568,0.05581,0.149237
0.147246,0.0,0.094595,0.069552,0.151584
0.098517,0.000122,0.081081,0.071553,0.131146
0.09322,0.000244,0.094595,0.070455,0.341925
0.102754,0.000122,0.108108,0.073209,0.130199
0.083686,0.0,0.094595,0.083944,0.164415
0.068856,0.000489,0.108108,0.073634,0.166875
0.103814,0.000611,0.094595,0.081101,0.148745
0.080508,0.000489,0.121622,0.089326,0.153703
0.075212,0.000244,0.108108,0.067097,0.128837
0.077331,0.0,0.094595,0.081396,0.164225
0.049788,0.000244,0.121622,0.068533,0.120397
0.099576,0.000366,0.094595,0.071142,0.168843
0.104873,0.0,0.081081,0.069234,0.169713
0.070975,0.000366,0.094595,0.069295,0.232732
0.088983,0.000122,0.108108,0.076346,0.134249
0.099576,0.000122,0.081081,0.064306,0.149956
0.126059,0.000122,0.094595,0.067939,0.163204
0.080508,0.0,0.067568,0.067116,0.154233
0.081568,0.0,0.162162,0.063385,0.147913
0.148305,0.000122,0.081081,0.082962,0.175694
0.118644,0.0,0.135135,0.066677,0.150827
0.080508,0.000122,0.121622,0.067537,0.149048
0.079449,0.000122,0.081081,0.066003,0.154233
0.055085,0.000122,0.067568,0.066789,0.130313
0.060381,0.0,0.067568,0.076426,0.16555
0.049788,0.000122,0.081081,0.068622,0.153249
0.068856,0.0,0.081081,0.06706,0.15219
0.042373,0.000366,0.094595,0.065648,0.153779
0.038136,0.000244,0.067568,0.065508,0.220052
0.043432,0.000366,0.081081,0.083103,0.148291
0.034958,0.0,0.081081,0.064881,0.154271
0.072034,0.0,0.094595,0.065494,0.150411
0.099576,0.000366,0.094595,0.065241,0.170887
0.118644,0.000122,0.081081,0.064848,0.147496
0.105932,0.000122,0.108108,0.075785,0.150751
0.113347,0.0,0.094595,0.073204,0.16169
0.115466,0.0,0.081081,0.069753,0.135233
0.112288,0.0,0.081081,0.067102,0.157943
0.115466,0.0,0.081081,0.066434,0.16907
0.147246,0.0,0.081081,0.079554,0.12157
0.134534,0.0,0.067568,0.069127,0.207827
0.181144,0.000122,0.067568,0.071815,0.158775
0.225636,0.000122,0.108108,0.071334,0.223421
0.163136,0.0,0.094595,0.05415,0.182582
0.133475,0.0,0.067568,0.079217,0.124484
0.1875,0.0,0.067568,0.075949,0.176829
0.161017,0.0,0.135135,0.084468,0.159116
0.192797,0.000122,0.108108,0.087708,0.181787
0.179025,0.000244,0.135135,0.072919,0.156996
0.15678,0.000366,0.094595,0.05285,0.143068
0.133475,0.0,0.081081,0.073653,0.178911
0.097458,0.000122,0.067568,0.073012,0.159911
0.075212,0.0,0.094595,0.069786,0.164755
0.079449,0.0,0.121622,0.083332,0.159646
0.101695,0.0,0.094595,0.083,0.161235
0.205508,0.0,0.067568,0.069169,0.168275
0.166314,0.0,0.108108,0.079703,0.164755
0.146186,0.000122,0.094595,0.074261,0.150184
0.157839,0.000122,0.121622,0.074172,0.247417
0.161017,0.0,0.081081,0.084968,0.33867
0.153602,0.0,0.081081,0.073316,0.180992
0.159958,0.000122,0.108108,0.074887,0.147042
0.150424,0.0,0.121622,0.070885,0.168464
0.115466,0.000122,0.081081,0.076005,0.175088
0.137712,0.0,0.081081,0.077814,0.150713
0.126059,0.0,0.067568,0.074798,0.183074
0.133475,0.0,0.135135,0.07852,0.160743
0.150424,0.0,0.108108,0.058218,0.180387
0.105932,0.0,0.067568,0.06952,0.148783
0.147246,0.0,0.067568,0.054225,0.162257
0.141949,0.0,0.121622,0.077281,0.180652
0.169492,0.0,0.081081,0.079488,0.152379
0.184322,0.0,0.081081,0.073527,0.192688
0.110169,0.0,0.135135,0.080162,0.207865
0.17161,0.0,0.081081,0.084636,0.162749
0.138771,0.000122,0.108108,0.09749,0.198478
0.137712,0.000244,0.094595,0.082902,0.146512
0.185381,0.0,0.094595,0.083673,0.179933
0.164195,0.000122,0.094595,0.074551,0.166004
0.121822,0.001111,0.135135,0.082962,0.156694
0.065678,0.000122,0.108108,0.077076,0.184777
0.111229,0.000122,0.108108,0.077538,0.182317
0.150424,0.0,0.094595,0.071091,0.160441
0.103814,0.000122,0.081081,0.078357,0.147988
0.055085,0.0,0.108108,0.081564,0.176299
0.120763,0.000122,0.108108,0.077356,0.164907
0.072034,0.000122,0.081081,0.047052,0.16907
0.153602,0.0,0.094595,0.07384,0.201393
0.172669,0.002345,0.148649,0.069627,0.192953
0.191737,0.000244,0.121622,0.084856,0.178873
0.132415,0.0,0.094595,0.079254,0.133984
0.129237,0.000122,0.108108,0.078301,0.195716
0.138771,0.000122,0.121622,0.077581,0.150978
0.185381,0.0,0.135135,0.084421,0.182241
0.182203,0.000122,0.121622,0.096279,0.147686
0.15572,0.000244,0.108108,0.091762,0.183339
0.117585,0.000244,0.148649,0.093375,0.162106
0.157839,0.000244,0.148649,0.092248,0.146096
0.135593,0.0,0.108108,0.084706,0.16555
0.127119,0.0,0.108108,0.06078,0.16063
0.190678,0.000366,0.108108,0.084042,0.202074
0.248941,0.000122,0.081081,0.087517,0.152795
0.159958,0.000244,0.108108,0.079811,0.197608
0.103814,0.000244,0.121622,0.085815,0.225238
0.133475,0.000122,0.108108,0.093628,0.179403
0.152542,0.000122,0.108108,0.087157,0.152152
0.110169,0.0,0.108108,0.090252,0.163355
0.168432,0.000611,0.108108,0.088513,0.181219
0.164195,0.000244,0.121622,0.078516,0.166951
0.182203,0.000244,0.081081,0.060916,0.150108
0.162076,0.000366,0.135135,0.089181,0.168654
0.169492,0.0,0.121622,0.084814,0.178116
0.182203,0.000244,0.108108,0.076781,0.163923
0.176907,0.000122,0.094595,0.085422,0.151281
0.141949,0.0,0.121622,0.088316,0.164263
