load_1,disk_r,disk_svc,disk_w,disk_wb
0.109491,1.5e-05,0.00722,0.036955,0.029287
0.108856,1.5e-05,0.009025,0.039263,0.033049
0.122807,0.000134,0.018051,0.098578,0.092418
0.109279,0.000134,0.01444,0.101977,0.091363
0.096174,1.5e-05,0.023466,0.026321,0.022571
0.153879,0.022781,0.101083,0.045562,0.032304
0.123653,5e-06,0.01083,0.029377,0.022471
0.116889,0.000129,0.021661,0.090813,0.082101
0.117734,0.000387,0.036101,0.033587,0.026059
0.11097,3.1e-05,0.019856,0.048993,0.040473
0.105897,5e-06,0.00722,0.026664,0.022546
0.113718,5e-06,0.00722,0.039419,0.031621
0.111816,0.0,0.00722,0.024481,0.020522
0.111182,0.0,0.009025,0.038982,0.03177
0.114352,0.0,0.005415,0.026788,0.022521
0.12175,0.0,0.005415,0.043255,0.031745
0.114775,0.0,0.00722,0.026913,0.022459
0.113295,1.5e-05,0.012635,0.031778,0.025029
0.103149,1.5e-05,0.00722,0.052953,0.043267
0.129571,0.0,0.005415,0.039325,0.033235
0.113929,0.000155,0.018051,0.036643,0.027264
0.106743,0.000119,0.016245,0.029315,0.025004
0.093426,2.6e-05,0.00722,0.039294,0.029399
0.105475,7.7e-05,0.01444,0.032433,0.023527
0.120482,2.6e-05,0.005415,0.033213,0.027288
0.12175,0.000418,0.023466,0.041227,0.027586
0.1171,5e-06,0.00722,0.040604,0.031783
0.106531,0.0,0.048736,0.024699,0.020448
0.109279,0.0,0.005415,0.04235,0.032006
0.116677,5.2e-05,0.009025,0.056072,0.048344
0.114141,0.0,0.005415,0.031653,0.025141
0.115409,0.000351,0.041516,0.03761,0.029511
0.102938,0.0,0.039711,0.037859,0.031621
0.108645,0.0,0.005415,0.024543,0.020497
0.099979,5e-06,0.00722,0.074222,0.06657
0.121116,0.002599,0.081227,0.029564,0.020833
0.114352,5e-06,0.009025,0.09284,0.083492
0.099979,1.5e-05,0.01444,0.038171,0.03187
0.129148,5e-06,0.005415,0.037984,0.029759
0.116889,0.000325,0.018051,0.240878,0.211715
0.112661,0.000144,0.01444,0.106281,0.090941
0.119425,0.000634,0.032491,0.072631,0.058363
0.129782,7.7e-05,0.016245,0.082829,0.067129
0.102938,7.7e-05,0.01083,0.063899,0.057941
0.106531,0.0,0.00722,0.043005,0.033782
0.114564,1.5e-05,0.028881,0.068577,0.064323
0.099979,0.0,0.00722,0.02735,0.018337
0.097865,0.001325,0.061372,0.040947,0.033136
0.106531,0.0,0.005415,0.037922,0.030516
0.092581,0.00049,0.021661,0.040417,0.032975
0.091313,0.0,0.009025,0.024543,0.021466
0.088988,0.000325,0.016245,0.040105,0.030703
0.092581,0.000103,0.012635,0.043972,0.035507
0.091313,0.0,0.00722,0.031716,0.026146
0.110336,0.0,0.005415,0.024294,0.021342
0.113929,2.6e-05,0.009025,0.04893,0.031696
0.121327,0.0,0.00722,0.036331,0.028592
0.11097,0.0,0.005415,0.033556,0.027996
0.119214,1.5e-05,0.009025,0.038764,0.032428
0.098499,0.0,0.005415,0.040136,0.035371
0.111604,0.002289,0.048736,0.035365,0.028195
0.11097,5.2e-05,0.01083,0.043878,0.036637
0.102938,1.5e-05,0.005415,0.033681,0.028406
0.105897,0.000624,0.018051,0.044065,0.036538
0.107377,0.0,0.005415,0.043754,0.033446
0.114775,0.001109,0.052347,0.036144,0.026246
0.116677,0.000361,0.030686,0.499657,0.496604
0.130628,6.7e-05,0.023466,0.151999,0.145902
0.110547,0.000572,0.016245,0.040947,0.033124
0.122596,5e-06,0.00361,0.029221,0.025563
0.121116,0.000144,0.021661,0.136406,0.124697
0.112873,0.000108,0.039711,0.088037,0.085826
0.098288,1.5e-05,0.005415,0.03708,0.028319
0.106743,5.2e-05,0.00722,0.060095,0.055222
0.118791,0.00147,0.054152,0.069451,0.06621
0.122173,4.1e-05,0.01083,0.069139,0.065688
0.127669,1.5e-05,0.01083,0.038577,0.031336
0.111182,0.000361,0.034296,0.039512,0.032267
0.11562,2.6e-05,0.01083,0.028192,0.023763
0.121327,4.1e-05,0.01444,0.038795,0.035073
0.104418,5.2e-05,0.012635,0.052392,0.044036
0.109913,2.6e-05,0.018051,0.028722,0.023849
0.105686,1.5e-05,0.052347,0.028971,0.026183
0.095329,0.000222,0.01444,0.048525,0.039704
0.114141,1.5e-05,0.00722,0.030687,0.025886
0.121327,5.7e-05,0.012635,0.031217,0.023924
0.109068,2.6e-05,0.009025,0.034055,0.028021
0.109702,5e-06,0.00722,0.047589,0.03696
0.136335,4.1e-05,0.005415,0.392347,0.086782
0.130416,5.7e-05,0.01083,0.148756,0.087849
0.115198,4.1e-05,0.041516,0.111489,0.06904
0.096174,7.7e-05,0.061372,0.069326,0.062969
0.08328,2.6e-05,0.00722,0.029408,0.0238
0.109702,1.5e-05,0.005415,0.040323,0.032813
0.100613,5e-06,0.00722,0.03209,0.028406
0.12175,0.000516,0.028881,0.037703,0.028704
0.123653,1.5e-05,0.00722,0.035708,0.028344
0.113929,1.5e-05,0.009025,0.032059,0.028033
0.117945,2.6e-05,0.01083,0.027662,0.023812
0.103784,0.000119,0.025271,0.047745,0.0421
0.114352,5e-06,0.00722,0.028691,0.023402
0.107588,7.7e-05,0.018051,0.033244,0.027984
0.122807,0.001949,0.055957,0.045874,0.035582
0.099556,0.000438,0.030686,0.033057,0.028095
0.09702,0.000645,0.012635,0.041072,0.036351
0.097865,0.008591,0.458484,0.03552,0.026171
0.098499,2.6e-05,0.01083,0.034897,0.028257
0.090679,0.000299,0.021661,0.033275,0.028108
0.090467,3.1e-05,0.00722,0.032807,0.027984
0.095329,0.000263,0.027076,0.06811,0.061889
0.107166,1.5e-05,0.012635,0.034024,0.028331
0.118791,3.1e-05,0.01083,0.030437,0.026047
0.100613,1.5e-05,0.00722,0.042132,0.035023
0.093849,5.7e-05,0.012635,0.037017,0.029995
0.100613,5.7e-05,0.023466,0.031903,0.026457
0.09702,5e-06,0.005415,0.059066,0.043689
